query_time,total_time,loading_time,execution_time
4574.575000000001,4206.867463,3683.18035,523.685299
4488.445,4124.25279,3607.946858,516.3043
4465.081999999999,4096.800495,3579.190784,517.607375
4535.134,4162.790956,3646.008962,516.780327
4539.364,4175.272245,3658.099934,517.170379
4456.406,4094.024248,3572.820974,521.201673
4464.661,4105.743444,3585.882422,519.859279
4442.222,4082.7071,3552.481994,530.223043
4540.549999999999,4179.390539,3662.265508,517.123329
4489.083,4128.129628,3609.693282,518.434438
4476.036,4110.736678,3584.245568,526.48944
4485.9400000000005,4127.729293,3595.133455,532.593892
4493.617,4131.590078,3608.180231,523.408234
4530.261,4168.202957,3644.345201,523.856104
4431.109,4072.960603,3550.842194,522.116421
4411.547,4053.939684,3534.624476,519.313495
4508.946,4124.337085,3604.453078,519.88221
4514.953,4134.180604,3616.439282,517.739003
4464.987,4095.047378,3571.595122,523.450468
4476.221,4107.591993,3580.715141,526.875381
