query_time,total_time,loading_time,execution_time
516.245,508.633,0.047,508.57699999999994
518.223,511.13399999999996,0.057,511.068
513.591,506.50300000000004,0.038,506.455
513.223,505.44100000000003,0.04,505.39
523.418,515.652,0.041,515.602
514.14,507.084,0.041,507.034
514.289,507.178,0.038,507.1329999999999
514.334,506.00500000000005,0.04,505.954
511.10699999999997,504.0,0.045000000000000005,503.948
514.083,506.982,0.039,506.935
513.506,506.234,0.041,506.18300000000005
513.631,505.822,0.039,505.773
515.9359999999999,508.723,0.047,508.668
516.127,509.05,0.04,509.0
517.088,509.551,0.04,509.501
527.107,509.699,0.049,509.64200000000005
516.9970000000001,509.876,0.044,509.822
516.432,509.37600000000003,0.041,509.327
516.812,509.77700000000004,0.038,509.729
518.237,509.93,0.041999999999999996,509.88
