query_time,total_time,loading_time,execution_time
28.608999999999998,25.599988,23.762149,1.804311
28.031,25.077208,23.254222,1.805287
28.042,25.130844,23.306615,1.807052
28.058,25.135448,23.312563,1.804789
28.628,25.487403,23.657865,1.812162
28.415,25.458436,23.604998,1.830543
27.855999999999998,24.988957,23.147566,1.824294
27.667,24.796083,22.972489,1.806276
27.823,24.912268,23.092701,1.801867
28.747999999999998,25.654073,23.802957,1.834218
28.218,25.246102,23.402629,1.820261
27.764,24.823721,22.990339,1.815433
27.59,24.72746,22.896145,1.814305
27.67,24.767825,22.929075,1.821646
28.85,25.735209,23.875683,1.841272
28.246,25.253191,23.382298,1.843994
27.833,24.887877,23.042975,1.827573
27.802,24.895639,23.061411,1.81682
27.801,24.865874,23.033455,1.814715
28.951999999999998,25.83133,23.957545,1.853701
